,value
2025-06-25,27202.596426590153
2025-06-26,27883.48159636136
2025-06-27,28062.228117217142
2025-06-30,28045.15714847692
2025-07-01,27887.683774718298
2025-07-02,27916.503121895144
2025-07-03,27642.905631337268
2025-07-04,28041.099142170046
2025-07-07,28147.216164533565
2025-07-08,28143.468687114448
2025-07-09,27794.3073093445
2025-07-10,28190.154638240016
2025-07-11,28083.437211202563
2025-07-14,28249.938812675784
2025-07-15,28118.681739923908
2025-07-16,27761.660884575118
2025-07-17,27749.099926837967
2025-07-18,27962.660384273106
2025-07-21,27794.567594611963
2025-07-22,28023.546261604286
2025-07-23,27717.427897430818
2025-07-24,27969.551356729145
2025-07-25,27833.344953864358
2025-07-28,27578.032297077767
2025-07-29,27815.46113801741
2025-07-30,27605.186164735143
2025-07-31,27238.185363180764
2025-08-01,27559.384577964156
2025-08-04,27540.782185075866
2025-08-05,27482.192658595195
2025-08-06,27805.183074045144
2025-08-07,27876.28813511071
2025-08-08,28424.004295472434
2025-08-11,28466.696165118257
2025-08-12,28861.96021936342
2025-08-13,29290.250383477764
2025-08-14,29002.862249877275
2025-08-15,29320.94910475452
2025-08-18,29615.76645600685
2025-08-19,29847.03912533104
2025-08-20,29788.70887684284
2025-08-21,30061.073976051382
2025-08-22,30339.306954198288
2025-08-25,30335.890623895353
2025-08-26,30018.377743407793
2025-08-27,29597.808201091117
2025-08-28,29504.34148566299
2025-08-29,29599.704014533723
2025-09-01,29992.83168236284
2025-09-02,30055.05081338418
2025-09-03,30559.3998498233
2025-09-04,30458.28261542171
2025-09-05,30103.17931829986
2025-09-08,30397.191109114556
2025-09-09,30440.35367859352
2025-09-10,30849.561974410426
2025-09-11,30402.30232026819
2025-09-12,30445.128045609454
2025-09-15,30000.78716434139
2025-09-16,30207.513391907338
2025-09-17,30206.6713378939
2025-09-18,30157.6359702434
2025-09-19,30211.230725001085
2025-09-22,29964.96183802207
2025-09-23,29815.66868970261
2025-09-24,29728.448128939024
2025-09-25,29465.946488797832
2025-09-26,29600.133832496835
2025-09-29,29455.80412047339
2025-09-30,29213.042424126234
2025-10-01,29278.304770821152
2025-10-02,29174.97257331555
2025-10-03,28931.418631537337
2025-10-06,28668.30521756388
2025-10-07,29031.867596581767
2025-10-08,28879.091993331916
2025-10-09,28915.914822482282
2025-10-10,29110.228320510498
2025-10-13,29247.651796923135
2025-10-14,29391.951916352915
2025-10-15,29350.803828542703
2025-10-16,29247.15131743276
2025-10-17,29231.369711116644
2025-10-20,29131.534388769665
2025-10-21,29132.1696662131
2025-10-22,29133.05795982625
2025-10-23,29104.152848597972
2025-10-24,29618.04497285597
2025-10-27,30083.61660190453
2025-10-28,30241.522489727184
2025-10-29,30501.452043548823
2025-10-30,30815.440124590543
2025-10-31,31274.834668778953
2025-11-03,31413.007823546683
2025-11-04,31367.821275480914
2025-11-05,31238.104252639503
2025-11-06,31360.009228764065
2025-11-07,31161.99211030677
2025-11-10,31223.16695511737
2025-11-11,30653.56621287314
2025-11-12,30553.93018265795
2025-11-13,30489.843060129497
2025-11-14,30974.913185617646
2025-11-17,30922.495354212406
2025-11-18,30937.73438877964
2025-11-19,31431.99821246833
2025-11-20,31290.95532356865
2025-11-21,31245.39163490002
2025-11-24,31601.523551403
2025-11-25,31695.559500087
2025-11-26,31828.00890380505
2025-11-27,31907.35987402678
2025-11-28,31425.29304090103
2025-12-01,31364.897599455806
2025-12-02,31728.942012907166
2025-12-03,32319.2946199286
2025-12-04,31992.14575922666
2025-12-05,32110.728188596146
2025-12-08,32133.814137412286
2025-12-09,32194.010045030038
2025-12-10,31879.710287843478
2025-12-11,31637.773421323094
2025-12-12,31678.120276766895
2025-12-15,31474.70379421375
2025-12-16,31817.231444819532
2025-12-17,32073.602661771252
2025-12-18,31804.50584121752
2025-12-19,31607.989938397368
2025-12-22,31835.991108279984
2025-12-23,32256.503073782485
2025-12-24,32284.944287221442
2025-12-25,32042.24036048774
2025-12-26,32392.06582732458
2025-12-29,32408.069688915646
2025-12-30,32180.819222413098
2025-12-31,32550.634768782747
2026-01-01,32390.345508950006
2026-01-02,32454.030147641643
